business_id,industry,city,years_in_operation,number_of_employees,annual_revenue_egp,annual_expenses_egp,annual_profit_egp,profit_margin,revenue_growth_rate,customer_growth_rate,monthly_customers,market_demand_score,competition_level,owner_dependency_score,scalability_score,location_score,revenue_stability_score,valuation_egp
EGY-SME-01936,Service Business,Cairo,18,13,8882254.3,7245214.1,1637040.2,0.1843,-0.0656,-0.0681,128,7,2,9,6,10,3,13012000
EGY-SME-06495,Tech Startup,Cairo,5,78,57227439.11,44364408.27,12863030.84,0.2248,0.3194,0.3841,190,9,5,5,10,8,3,137565000
EGY-SME-01721,Restaurant/Cafe,Cairo,20,23,2039445.2,1872503.43,166941.77,0.0819,-0.1352,-0.1531,1359,7,8,6,9,1,8,2912000
EGY-SME-09121,Service Business,Cairo,4,30,3471213.17,2985390.58,485822.59,0.14,0.1142,0.0893,157,6,6,3,8,2,6,6011000
EGY-SME-00361,Retail Store,Ismailia,18,19,7309546.12,6243876.93,1065669.19,0.1458,-0.0052,-0.0065,460,6,4,4,10,2,10,16023000
EGY-SME-09664,Restaurant/Cafe,Alexandria,3,29,6543588.11,5426852.89,1116735.22,0.1707,-0.0372,-0.0481,477,1,10,3,9,1,1,7746000
EGY-SME-05278,Retail Store,Port Said,8,13,2582948.83,2193880.31,389068.52,0.1506,0.3249,0.3351,1340,3,10,7,7,9,10,5234000
EGY-SME-08547,Service Business,Giza,16,23,4153978.04,3045469.12,1108508.93,0.2669,0.0805,0.0802,1451,4,10,9,8,5,2,6692000
EGY-SME-02222,Clinic/Medical,Cairo,16,15,7920594.95,5936706.75,1983888.19,0.2505,-0.1291,-0.1534,588,7,4,3,3,7,1,10787000
EGY-SME-04618,Service Business,Alexandria,15,18,6535223.43,4774202.75,1761020.68,0.2695,0.3422,0.3148,829,3,1,2,4,6,6,15568000
EGY-SME-03466,E-commerce,Shubra El Kheima,13,34,7701281.86,5765346.46,1935935.4,0.2514,-0.0771,-0.0704,4071,7,9,10,1,2,1,7999000
EGY-SME-01409,Clinic/Medical,Giza,18,15,3728890.04,2737162.39,991727.65,0.266,-0.1713,-0.1384,839,1,3,3,2,5,5,5485000
EGY-SME-00469,Restaurant/Cafe,Tanta,16,17,8049369.06,7179094.85,870274.21,0.1081,0.2851,0.3125,2328,3,4,9,7,6,5,9212000
EGY-SME-01176,Clinic/Medical,Giza,20,19,8542970.99,5667052.34,2875918.64,0.3366,0.3955,0.3576,472,5,6,9,3,5,3,17176000
EGY-SME-05225,Retail Store,Cairo,19,24,3077141.61,2674305.29,402836.32,0.1309,0.1765,0.1323,2515,7,1,9,8,2,3,4466000
EGY-SME-08129,Service Business,Giza,16,19,10433484.84,8807962.41,1625522.43,0.1558,0.3129,0.2607,813,1,2,2,3,4,4,15666000
EGY-SME-00425,Restaurant/Cafe,Mansoura,5,25,7704467.15,6952027.98,752439.17,0.0977,0.2595,0.2905,2377,4,6,4,7,4,1,10833000
EGY-SME-07048,Restaurant/Cafe,Faiyum,19,13,4978832.97,4537962.46,440870.51,0.0885,-0.0196,-0.024,435,5,7,5,2,8,6,5793000
EGY-SME-02484,Restaurant/Cafe,Cairo,15,25,1240038.95,1101809.57,138229.38,0.1115,-0.1275,-0.1125,1155,10,7,2,3,7,6,1598000
EGY-SME-01826,Clinic/Medical,Cairo,4,5,6540824.93,4759091.79,1781733.14,0.2724,0.3706,0.396,457,7,1,3,5,2,5,16352000
EGY-SME-10558,Clinic/Medical,Cairo,4,25,5978476.31,4737380.5,1241095.8,0.2076,0.283,0.199,675,2,5,2,5,6,2,9176969
EGY-SME-01484,Restaurant/Cafe,Shubra El Kheima,15,22,9197261.82,8004151.82,1193110.0,0.1297,0.1644,0.1372,2822,10,9,6,3,9,10,13787000
EGY-SME-09291,Clinic/Medical,Mansoura,9,14,9268387.62,6705775.36,2562612.26,0.2765,-0.1085,-0.1331,544,2,3,10,6,7,3,9209000
EGY-SME-09710,Clinic/Medical,Giza,6,11,2369405.23,1674849.54,694555.69,0.2931,0.0804,0.0851,704,2,1,2,8,8,6,5622000
EGY-SME-01651,Restaurant/Cafe,Alexandria,15,7,10714043.03,8940710.02,1773333.01,0.1655,-0.108,-0.0889,1256,10,1,2,8,10,2,21115000
EGY-SME-09787,Restaurant/Cafe,Alexandria,14,29,7424117.31,6153047.65,1271069.66,0.1712,-0.05,-0.0553,2727,6,3,2,3,7,10,14552000
EGY-SME-02814,Restaurant/Cafe,Cairo,20,23,1589411.81,1346465.27,242946.54,0.1529,0.2869,0.3637,225,4,5,6,1,10,3,2011000
EGY-SME-03705,Service Business,Giza,6,29,5260984.5,4470550.98,790433.52,0.1502,0.0231,0.0297,1160,2,1,6,7,9,1,6616000
EGY-SME-06119,Retail Store,Cairo,5,24,3259243.77,2711801.54,547442.23,0.168,-0.0172,-0.021,1725,2,1,6,9,1,2,4855000
